player,team,grade_old,grade_new,delta,rank_old,rank_new,pool,xp_per_90,xp_pass,residual,ip_p90,rank_gain
Ellyes Skhiri,Eintracht Frankfurt,5.71,4.96,-0.75,276,364,418,9.6,0.303,-1.03,2.6,-88
Martín Zubimendi,Arsenal,7.44,6.69,-0.75,89,162,418,15.08,0.342,-1.16,2.97,-73
Danilo Cataldi,Lazio,7.05,6.29,-0.76,121,208,418,11.64,0.34,-0.8,3.22,-87
Enzo Fernández,Chelsea,8.5,7.72,-0.78,21,65,418,17.16,0.36,-0.8,4.92,-44
Rolando Mandragora,Fiorentina,6.2,5.42,-0.78,219,310,418,8.0,0.333,-0.85,2.09,-91
Lewis Ferguson,Bologna,5.75,4.97,-0.78,272,363,418,10.49,0.316,-1.53,1.89,-91
Hakan Çalhanoğlu,Inter,8.62,7.84,-0.78,16,55,418,20.71,0.364,-1.33,5.14,-39
Julian Niehues,1. FC Heidenheim,5.65,4.86,-0.79,283,376,418,6.78,0.323,-1.32,1.87,-93
Tyler Adams,Bournemouth,5.74,4.94,-0.79,273,366,418,11.08,0.317,-1.69,2.32,-93
Bara Sapoko Ndiaye,FC Bayern München,6.19,5.39,-0.8,212,339,418,9.62,0.332,-2.76,1.0,-127
Lewis Cook,Bournemouth,6.35,5.55,-0.8,201,295,418,8.09,0.34,-1.06,2.39,-94
Ardon Jashari,AC Milan,6.89,6.09,-0.8,138,232,418,10.78,0.356,-1.34,2.23,-94
Niccolò Pisilli,AS Roma,7.06,6.24,-0.82,120,214,418,10.64,0.366,-1.37,2.92,-94
Marc Casadó,FC Barcelona,6.28,5.46,-0.82,210,306,418,11.95,0.339,-1.77,1.52,-96
Johan Manzambi,SC Freiburg,6.54,5.71,-0.84,179,277,418,9.82,0.338,-1.05,2.19,-98
Kobbie Mainoo,Manchester United,6.17,5.33,-0.85,222,321,418,12.16,0.329,-1.62,2.32,-99
Stanislav Lobotka,SSC Napoli,7.66,6.81,-0.85,70,147,418,17.01,0.328,-0.99,4.03,-77
Axel Witsel,Girona FC,6.44,5.58,-0.86,191,292,418,13.0,0.313,-1.09,2.81,-101
Scott McTominay,SSC Napoli,6.42,5.56,-0.86,193,294,418,11.45,0.323,-1.09,2.42,-101
Michel Aebischer,Pisa,6.96,6.07,-0.89,130,234,418,11.68,0.323,-0.57,3.23,-104
Arthur Atta,Udinese,6.57,5.65,-0.91,176,283,418,8.99,0.335,-0.83,2.31,-107
Farès Chaïbi,Eintracht Frankfurt,6.06,5.14,-0.92,235,343,418,7.44,0.333,-1.15,2.18,-108
James Sands,FC St. Pauli,6.8,5.88,-0.92,149,257,418,9.4,0.339,-0.84,2.96,-108
Santiago Colombatto,Real Oviedo,6.04,5.1,-0.94,238,348,418,8.46,0.311,-0.76,2.91,-110
Douglas Luiz,Aston Villa,6.0,5.05,-0.95,242,353,418,9.08,0.322,-1.37,2.4,-111
Ezequiel Fernández,Bayer 04 Leverkusen,6.95,6.0,-0.95,131,242,418,12.0,0.33,-0.92,2.9,-111
Amadou Onana,Aston Villa,6.29,5.34,-0.96,208,320,418,9.45,0.323,-0.94,2.64,-112
James Garner,Everton,7.6,6.61,-0.99,75,171,418,13.89,0.351,-1.19,3.66,-96
Khéphren Thuram,Juventus,7.35,6.36,-0.99,96,200,418,12.87,0.346,-1.08,3.4,-104
James Ward-Prowse,Burnley,6.23,5.22,-1.01,216,334,418,9.98,0.332,-1.53,2.11,-118
Han-Noah Massengo,FC Augsburg,6.6,5.59,-1.01,172,290,418,9.5,0.34,-1.15,2.97,-118
Reece James,Chelsea,6.71,5.68,-1.03,159,280,418,12.7,0.316,-1.02,3.0,-121
Eduardo Camavinga,Real Madrid,7.02,5.96,-1.06,124,247,418,11.8,0.346,-1.35,2.9,-123
James Milner,Brighton & Hove Albion,6.82,5.75,-1.07,147,272,418,8.13,0.354,-1.21,3.17,-125
Jon Gorrotxategi,Real Sociedad,6.75,5.66,-1.09,155,282,418,12.2,0.324,-1.16,3.33,-127
Ethan Ampadu,Leeds United,7.24,6.15,-1.1,105,225,418,13.96,0.331,-1.16,3.49,-120
Samú Costa,Mallorca,6.22,5.11,-1.1,217,346,418,9.52,0.321,-1.17,2.53,-129
