player,team,grade_old,grade_new,delta,rank_old,rank_new,pool,xp_per_90,xp_pass,residual,ip_p90,rank_gain
Pedro Díaz,Rayo Vallecano,5.06,5.26,0.2,353,329,418,6.2,0.323,-0.41,1.24,24
Filip Ugrinić,Valencia,5.2,5.4,0.2,336,313,418,6.59,0.328,-0.5,1.56,23
Patrice Čović,SV Werder Bremen,5.05,5.25,0.2,368,341,418,3.69,0.342,-0.92,0.67,27
Unai Vencedor,Levante UD,7.19,7.38,0.19,107,91,418,8.18,0.384,0.33,2.69,16
Fermín López,FC Barcelona,6.85,7.03,0.18,143,123,418,9.16,0.356,0.12,2.57,20
Jefferson Lerma,Crystal Palace,6.38,6.56,0.18,198,177,418,7.74,0.346,0.16,2.68,21
Giovani Lo Celso,Real Betis,7.26,7.44,0.18,104,89,418,11.27,0.362,0.04,2.92,15
Tom Cairney,Fulham,6.34,6.51,0.17,203,183,418,8.8,0.337,0.1,2.25,20
Chema Andrés,VfB Stuttgart,7.4,7.57,0.17,92,78,418,9.51,0.39,-0.13,2.8,14
Jesper Karlström,Udinese,6.78,6.94,0.16,151,132,418,10.48,0.345,0.04,3.0,19
Xaver Schlager,RB Leipzig,7.51,7.66,0.16,83,70,418,13.15,0.375,-0.41,2.85,13
Isak Vural,Pisa,4.72,4.88,0.16,411,390,418,3.48,0.309,-1.09,0.6,21
Roméo Lavia,Chelsea,6.03,6.19,0.16,239,219,418,8.09,0.34,-0.21,1.64,20
Mathias Rasmussen,FC St. Pauli,5.74,5.89,0.15,275,256,418,6.0,0.326,0.13,1.77,19
Pablo Torre,Mallorca,6.81,6.96,0.15,148,130,418,7.1,0.379,-0.07,2.2,18
Arijon Ibrahimović,1. FC Heidenheim,6.73,6.87,0.14,157,141,418,6.62,0.379,-0.1,2.31,16
Hans Nicolussi Caviglia,Parma,6.64,6.78,0.14,167,151,418,8.55,0.352,0.04,2.42,16
Pablo Marín,Real Sociedad,4.6,4.73,0.13,414,398,418,2.75,0.306,-0.46,0.52,16
Joel Chima Fujita,FC St. Pauli,7.32,7.45,0.13,99,88,418,9.81,0.354,0.52,3.34,11
Ilia Gruev,Leeds United,5.1,5.23,0.13,348,333,418,6.69,0.302,-0.05,2.26,15
Nadiem Amiri,1. FSV Mainz 05,8.67,8.79,0.12,14,9,418,13.58,0.409,1.19,5.38,5
Oliver Sørensen,Parma,4.61,4.73,0.12,405,391,418,4.21,0.316,-0.8,1.0,14
Charles Pickel,Espanyol,4.66,4.78,0.12,416,401,418,2.67,0.311,-1.24,0.52,15
Tommaso Baldanzi,Genoa,5.95,6.06,0.11,248,235,418,5.84,0.349,-0.1,1.94,13
Antonio Sánchez,Mallorca,4.77,4.87,0.11,394,381,418,3.26,0.335,-1.07,0.97,13
Rayan Cherki,Manchester City,7.89,8.0,0.11,51,42,418,12.35,0.37,0.33,3.75,9
Sergi Darder,Mallorca,7.5,7.6,0.11,84,75,418,9.76,0.39,-0.22,2.32,9
Cheikh Niasse,Hellas Verona,4.79,4.89,0.11,391,378,418,4.97,0.318,-1.03,0.79,13
Tomáš Souček,West Ham United,4.53,4.63,0.1,415,403,418,5.97,0.294,-1.0,1.18,12
Saša Lukić,Fulham,5.25,5.35,0.1,330,318,418,7.31,0.321,-0.48,1.38,12
Jürgen Ekkelenkamp,Udinese,5.03,5.11,0.08,356,347,418,5.16,0.321,-0.38,1.35,9
Patrick Osterhage,SC Freiburg,4.79,4.87,0.08,384,375,418,6.37,0.306,-0.86,1.42,9
Jon Guridi,Deportivo Alavés,4.81,4.89,0.08,383,373,418,4.19,0.321,-0.67,1.14,10
Miguel Román,Celta Vigo,7.85,7.93,0.07,54,48,418,12.88,0.382,-0.05,3.53,6
Gabriele Piccinini,Pisa,4.67,4.73,0.07,417,408,418,2.16,0.301,-1.21,0.68,9
Lucas Cepeda,Elche,5.97,6.04,0.07,247,237,418,4.89,0.367,-0.37,1.2,10
Kevin Stöger,Borussia M'gladbach,6.63,6.7,0.07,169,161,418,8.12,0.352,0.0,2.54,8
Nikola Moro,Bologna,8.43,8.5,0.07,24,21,418,15.2,0.408,-0.49,3.67,3
Pablo Fornals,Real Betis,8.4,8.47,0.07,25,22,418,15.63,0.378,0.07,4.86,3
Leander Dendoncker,Real Oviedo,4.85,4.91,0.06,377,370,418,7.67,0.291,-0.6,1.56,7
Azzedine Ounahi,Girona FC,7.93,7.99,0.06,48,43,418,12.52,0.385,-0.07,3.42,5
Martín Payero,Cremonese,5.53,5.59,0.06,298,291,418,4.9,0.355,-0.64,1.32,7
Mateus Fernandes,West Ham United,7.09,7.14,0.05,118,114,418,12.55,0.346,-0.23,2.61,4
Felipe Loyola,Pisa,4.88,4.93,0.05,389,382,418,4.86,0.292,-0.89,1.0,7
Pedri,FC Barcelona,8.88,8.93,0.05,5,3,418,25.79,0.401,-0.24,5.86,2
Urko González,Espanyol,6.49,6.53,0.04,185,180,418,7.63,0.352,0.01,2.28,5
Baptiste Santamaria,Valencia,6.23,6.27,0.04,215,210,418,6.6,0.358,-0.24,2.28,5
Dani Olmo,FC Barcelona,7.15,7.18,0.04,113,110,418,10.84,0.359,-0.19,2.73,3
Sergi Altimira,Real Betis,5.47,5.52,0.04,304,299,418,9.43,0.325,-0.88,1.75,5
Johnny Cardoso,Atlético Madrid,6.3,6.35,0.04,207,202,418,10.13,0.345,-0.56,1.87,5
Angel Gomes,Wolverhampton,5.64,5.67,0.03,290,286,418,4.18,0.328,0.13,1.5,4
Lennart Karl,FC Bayern München,6.32,6.35,0.03,205,201,418,9.2,0.341,-0.26,1.85,4
Ugo Raghouber,Levante UD,4.65,4.67,0.02,410,407,418,4.91,0.282,-1.14,1.0,3
Ao Tanaka,Leeds United,4.78,4.8,0.02,385,383,418,6.39,0.314,-1.04,1.18,2
Bruno Guimarães,Newcastle United,8.74,8.76,0.02,11,10,418,16.79,0.399,0.58,5.83,1
Nikolas Nartey,VfB Stuttgart,5.36,5.38,0.02,317,315,418,5.19,0.341,-0.56,1.39,2
Oriol Rey,Levante UD,6.15,6.17,0.02,225,223,418,8.71,0.345,-0.49,1.95,2
Malthe Højholt,Pisa,4.79,4.81,0.02,396,394,418,4.04,0.283,-0.46,1.12,2
Dani Parejo,Villarreal,6.51,6.52,0.02,183,181,418,8.62,0.355,-0.33,2.25,2
Luka Modrić,AC Milan,8.93,8.95,0.02,3,2,418,23.73,0.414,0.21,7.56,1
Bruno Fernandes,Manchester United,8.86,8.88,0.02,6,5,418,19.03,0.413,0.62,6.0,1
Alexis Mac Allister,Liverpool FC,7.59,7.61,0.02,76,74,418,12.23,0.377,-0.4,2.84,2
Martim Neto,Elche,6.47,6.48,0.01,187,186,418,7.39,0.355,-0.08,2.36,1
Christoph Baumgartner,RB Leipzig,6.39,6.4,0.01,197,196,418,8.06,0.33,0.32,2.48,1
Cameron Puertas,SV Werder Bremen,5.88,5.89,0.01,256,255,418,8.61,0.325,-0.24,2.14,1
Gerard Gumbau,Rayo Vallecano,5.06,5.07,0.01,352,351,418,5.08,0.34,-1.01,1.07,1
Vinícius Souza,VfL Wolfsburg,6.88,6.88,0.0,139,139,418,8.85,0.357,-0.01,2.79,0
Nicolò Fagioli,Fiorentina,8.21,8.21,0.0,33,33,418,16.27,0.369,-0.21,4.09,0
Fisayo Dele-Bashiru,Lazio,4.5,4.5,0.0,418,418,418,4.69,0.261,-2.15,0.48,0
Máximo Perrone,Como,8.35,8.35,-0.0,27,27,418,19.35,0.357,-0.26,4.28,0
Manuel Locatelli,Juventus,8.98,8.98,-0.0,1,1,418,29.11,0.435,0.52,10.47,0
Soungoutou Magassa,West Ham United,4.79,4.79,-0.01,388,389,418,4.76,0.322,-1.19,1.05,-1
Morgan Gibbs-White,Nottingham Forest,7.48,7.46,-0.02,85,87,418,9.95,0.376,-0.1,2.89,-2
Nicolò Barella,Inter,8.57,8.54,-0.02,18,19,418,16.82,0.375,0.1,5.03,-1
Felix Nmecha,Borussia Dortmund,7.36,7.34,-0.02,95,97,418,11.64,0.369,-0.4,2.93,-2
Pol Lozano,Espanyol,7.29,7.27,-0.02,101,103,418,9.26,0.371,-0.06,2.82,-2
Michel Adopo,Cagliari,5.31,5.29,-0.03,323,326,418,7.42,0.317,-0.41,1.84,-3
Ryan Christie,Bournemouth,6.05,6.02,-0.03,237,240,418,6.06,0.371,-0.77,1.38,-3
Pablo Martínez,Levante UD,6.41,6.37,-0.03,195,199,418,7.18,0.358,-0.25,2.11,-4
Billy Gilmour,SSC Napoli,7.94,7.9,-0.04,47,50,418,15.99,0.363,-0.16,4.38,-3
Medon Berisha,Lecce,6.72,6.68,-0.04,154,159,418,8.16,0.368,-0.32,1.54,-5
Youri Tielemans,Aston Villa,7.91,7.88,-0.04,49,52,418,13.06,0.374,-0.04,3.46,-3
Gvidas Gineitis,Torino,5.88,5.82,-0.05,257,263,418,5.37,0.351,-0.33,2.07,-6
Joshua Kimmich,FC Bayern München,8.95,8.9,-0.05,2,4,418,32.12,0.384,-1.01,6.34,-2
Christian Ordoñez,Parma,4.75,4.69,-0.05,403,410,418,2.51,0.312,-1.56,0.44,-7
Brais Méndez,Real Sociedad,6.43,6.38,-0.05,192,198,418,8.35,0.354,-0.39,2.1,-6
Alberto Reina,Real Oviedo,5.56,5.51,-0.05,294,300,418,7.56,0.329,-0.55,2.03,-6
Denis Suárez,Deportivo Alavés,5.98,5.92,-0.06,245,252,418,7.79,0.344,-0.51,1.87,-7
Djibril Sow,Sevilla,5.52,5.45,-0.07,299,307,418,8.19,0.323,-0.59,1.79,-8
Arda Güler,Real Madrid,7.76,7.69,-0.07,62,68,418,13.78,0.379,-0.65,3.09,-6
Pape Matar Sarr,Tottenham Hotspur,4.76,4.7,-0.07,387,395,418,6.51,0.312,-1.29,1.24,-8
Kevin De Bruyne,SSC Napoli,7.75,7.67,-0.07,63,69,418,12.67,0.381,-0.34,3.06,-6
Alexsandro Amorim,Genoa,5.28,5.2,-0.08,334,344,418,7.16,0.307,-0.88,1.7,-10
Alessandro Deiola,Cagliari,4.64,4.56,-0.08,402,411,418,6.58,0.275,-1.05,1.75,-9
Moatasem Al-Musrati,Hellas Verona,6.7,6.63,-0.08,160,169,418,8.54,0.372,-0.63,2.0,-9
Patrizio Masini,Genoa,5.46,5.36,-0.09,306,317,418,5.11,0.342,-0.58,1.64,-11
Youssef Maleh,Cremonese,5.89,5.8,-0.09,255,266,418,6.58,0.334,-0.22,2.13,-11
Neil El Aynaoui,AS Roma,5.63,5.54,-0.09,286,296,418,6.75,0.33,-0.46,2.4,-10
Javier Guerra,Valencia,6.67,6.58,-0.09,164,174,418,7.67,0.353,0.02,2.42,-10
Obed Vargas,Atlético Madrid,5.56,5.48,-0.09,297,308,418,6.96,0.324,-0.68,1.83,-11
Simon Sohm,Fiorentina,4.95,4.85,-0.1,365,377,418,5.55,0.309,-0.66,1.22,-12
Angelo Stiller,VfB Stuttgart,8.83,8.74,-0.1,7,11,418,22.24,0.38,-0.25,6.26,-4
Wouter Burger,TSG Hoffenheim,8.16,8.07,-0.1,35,39,418,13.14,0.381,0.03,4.4,-4
Aleix García,Bayer 04 Leverkusen,8.9,8.81,-0.1,4,8,418,29.86,0.353,-0.71,7.09,-4
Sulemana,Cagliari,4.68,4.58,-0.1,400,412,418,5.52,0.305,-1.99,1.21,-12
Myles Lewis-Skelly,Arsenal,5.02,4.92,-0.11,359,372,418,5.66,0.312,-0.89,1.42,-13
Piotr Zieliński,Inter,8.02,7.91,-0.11,41,49,418,15.01,0.373,-0.43,4.09,-8
Sofyan Amrabat,Real Betis,7.08,6.95,-0.12,119,131,418,15.94,0.335,-0.66,3.29,-12
Kwasi Sibo,Real Oviedo,4.9,4.78,-0.12,371,385,418,6.78,0.302,-0.8,1.77,-14
Nicolas Fonseca,Real Oviedo,6.58,6.46,-0.13,174,189,418,8.72,0.346,-0.18,2.74,-15
Kaishu Sano,1. FSV Mainz 05,7.88,7.75,-0.13,52,63,418,11.39,0.381,-0.14,3.79,-11
Nicolas Seiwald,RB Leipzig,7.38,7.24,-0.13,94,105,418,13.44,0.349,-0.36,2.97,-11
Aimar Oroz,Osasuna,6.79,6.66,-0.13,150,165,418,7.66,0.365,-0.25,2.42,-15
Nico Paz,Como,7.45,7.32,-0.13,88,99,418,11.84,0.365,-0.38,2.83,-11
Serge Gnabry,FC Bayern München,6.47,6.33,-0.14,188,204,418,9.21,0.338,-0.23,2.48,-16
Rodri,Manchester City,8.81,8.67,-0.14,8,14,418,25.54,0.37,-0.66,5.5,-6
Hugo Bolin,Borussia M'gladbach,5.04,4.9,-0.14,373,392,418,2.71,0.32,-1.71,1.0,-19
Matteo Prati,Cagliari,6.13,5.99,-0.14,227,244,418,6.86,0.343,-0.24,2.21,-17
Isi Palazón,Rayo Vallecano,6.45,6.31,-0.14,190,206,418,7.78,0.352,-0.3,2.32,-16
Manuel Ugarte,Manchester United,4.94,4.79,-0.15,367,384,418,6.11,0.319,-1.28,1.23,-17
Beñat Turrientes,Real Sociedad,5.64,5.49,-0.15,285,302,418,7.34,0.334,-0.72,1.67,-17
Jhon Solís,Girona FC,4.97,4.82,-0.15,380,400,418,3.44,0.291,-1.28,0.25,-20
Matías Vecino,Lazio,5.39,5.24,-0.15,314,331,418,7.41,0.329,-1.0,1.89,-17
Ibrahim Sangaré,Nottingham Forest,6.88,6.73,-0.15,140,157,418,10.51,0.346,-0.29,2.78,-17
Enzo Le Fée,Sunderland,6.53,6.39,-0.15,180,197,418,8.32,0.334,0.15,2.64,-17
Manu Koné,AS Roma,8.14,7.97,-0.16,36,44,418,15.72,0.371,-0.44,4.55,-8
Antoine Bernede,Hellas Verona,7.0,6.84,-0.16,125,144,418,7.73,0.366,-0.11,2.91,-19
Samuele Ricci,AC Milan,5.85,5.69,-0.16,260,279,418,6.76,0.363,-1.14,1.42,-19
Yasin Ayari,Brighton & Hove Albion,5.09,4.93,-0.16,349,368,418,8.12,0.291,-0.44,2.0,-19
Rocco Reitz,Borussia M'gladbach,7.67,7.51,-0.17,69,83,418,11.09,0.363,0.06,4.16,-14
Andrey Santos,Chelsea,5.78,5.6,-0.18,268,289,418,8.58,0.329,-0.69,2.07,-21
Bryan Cristante,AS Roma,8.71,8.52,-0.19,12,20,418,18.13,0.389,-0.64,5.51,-8
Pepelu,Valencia,7.69,7.5,-0.19,68,84,418,13.59,0.356,-0.28,3.71,-16
Aleksandar Pavlović,FC Bayern München,8.38,8.19,-0.19,26,34,418,22.81,0.367,-1.33,4.08,-8
Kervin Arriaga,Levante UD,5.17,4.98,-0.19,340,362,418,6.98,0.32,-1.02,1.59,-22
Oscar Højlund,Eintracht Frankfurt,4.71,4.51,-0.2,393,417,418,6.26,0.3,-2.18,1.0,-24
Alberto Grassi,Cremonese,6.14,5.94,-0.2,226,249,418,8.31,0.326,-0.14,2.57,-23
Alex Scott,Bournemouth,6.1,5.9,-0.2,231,254,418,10.11,0.32,-0.38,2.11,-23
Marco Brescianini,Fiorentina,4.76,4.56,-0.2,392,416,418,4.16,0.318,-2.51,1.12,-24
Warren Bondo,Cremonese,4.87,4.66,-0.21,375,399,418,7.33,0.289,-0.79,1.81,-24
Guido Rodríguez,Valencia,6.87,6.65,-0.21,141,166,418,10.47,0.343,-0.26,2.82,-25
Florian Kainz,1. FC Köln,6.07,5.86,-0.21,233,261,418,4.07,0.387,-1.0,1.29,-28
Ruslan Malinovskyi,Genoa,7.12,6.91,-0.22,115,136,418,10.56,0.363,-0.52,2.56,-21
Senne Lynen,SV Werder Bremen,8.23,8.02,-0.22,32,41,418,16.1,0.358,0.02,4.87,-9
Aurélien Tchouaméni,Real Madrid,8.59,8.38,-0.22,17,26,418,19.82,0.378,-0.86,4.55,-9
Petar Sučić,Inter,7.18,6.97,-0.22,110,129,418,10.54,0.353,-0.16,2.94,-19
Hugo Sotelo,Celta Vigo,8.52,8.31,-0.22,20,29,418,17.43,0.389,-0.65,4.4,-9
Kiernan Dewsbury-Hall,Everton,6.97,6.74,-0.23,129,156,418,9.87,0.362,-0.6,2.71,-27
Habib Diarra,Sunderland,5.16,4.92,-0.23,343,371,418,5.52,0.322,-1.08,1.4,-28
Yves Bissouma,Tottenham Hotspur,4.87,4.62,-0.25,382,413,418,7.33,0.29,-2.41,1.55,-31
Harrison Armstrong,Everton,5.54,5.28,-0.26,303,337,418,5.01,0.332,-1.06,1.45,-34
Josh Cullen,Burnley,6.77,6.52,-0.26,152,182,418,12.58,0.319,-0.16,2.67,-30
Moisés Caicedo,Chelsea,7.99,7.71,-0.27,43,66,418,18.81,0.336,-0.46,3.94,-23
Luca Mazzitelli,Cagliari,5.32,5.04,-0.27,327,361,418,5.2,0.334,-1.3,1.5,-34
Abdou Harroui,Hellas Verona,4.95,4.69,-0.27,372,405,418,4.09,0.323,-1.93,0.86,-33
Rodrigo Bentancur,Tottenham Hotspur,4.92,4.64,-0.28,369,402,418,9.42,0.282,-1.22,2.23,-33
Conor Gallagher,Tottenham Hotspur,4.98,4.69,-0.29,362,396,418,6.74,0.309,-1.12,1.69,-34
Granit Xhaka,Sunderland,8.55,8.26,-0.29,19,31,418,16.48,0.38,-0.52,5.03,-12
Antonio Blanco,Deportivo Alavés,7.28,6.99,-0.29,102,127,418,14.5,0.348,-0.8,3.22,-25
Kristjan Asllani,Torino,7.83,7.54,-0.29,56,80,418,12.58,0.379,-0.42,3.4,-24
Yangel Herrera,Real Sociedad,5.08,4.79,-0.29,360,397,418,4.88,0.313,-1.63,1.36,-37
Tijjani Reijnders,Manchester City,6.01,5.71,-0.3,241,276,418,8.34,0.341,-0.85,2.11,-35
Maximilian Arnold,VfL Wolfsburg,7.61,7.3,-0.31,74,100,418,12.48,0.36,-0.35,3.68,-26
Frenkie de Jong,FC Barcelona,8.47,8.16,-0.31,22,35,418,21.44,0.381,-1.47,3.92,-13
Grischa Prömel,TSG Hoffenheim,6.18,5.86,-0.32,221,259,418,7.64,0.334,-0.34,2.24,-38
Adrien Rabiot,AC Milan,7.73,7.4,-0.33,64,92,418,14.03,0.359,-0.52,3.72,-28
Damián Rodríguez,Celta Vigo,6.51,6.18,-0.33,156,212,418,19.05,0.366,-2.62,1.5,-56
Linton Maina,1. FC Köln,5.79,5.45,-0.34,269,311,418,4.14,0.366,-1.02,1.52,-42
Pablo Barrios,Atlético Madrid,7.46,7.12,-0.34,87,115,418,14.64,0.358,-0.92,2.96,-28
Iván Martín,Girona FC,6.56,6.22,-0.34,177,217,418,11.65,0.325,-0.46,2.63,-40
Yehor Yarmoliuk,Brentford,5.4,5.05,-0.35,313,354,418,9.28,0.303,-0.71,2.03,-41
Elliot Anderson,Nottingham Forest,8.76,8.4,-0.36,10,25,418,19.53,0.365,-0.48,6.35,-15
Leonardo Bittencourt,SV Werder Bremen,5.38,5.02,-0.36,316,358,418,7.34,0.318,-1.15,1.62,-42
Leon Avdullahu,TSG Hoffenheim,8.78,8.43,-0.36,9,24,418,20.03,0.364,-0.43,6.91,-15
Sandro Tonali,Newcastle United,7.65,7.29,-0.36,71,101,418,13.63,0.357,-0.55,3.64,-30
Pascal Groß,Brighton & Hove Albion,7.78,7.42,-0.36,60,90,418,15.16,0.345,-0.35,4.17,-30
