label,flag_rate_pct,short_rate_pct,long_rate_pct,jaccard_vs_threat_m4,player_rate_spearman,mean_xp_flagged,mean_xp_other,mean_res_flagged,mean_prog_flagged,cohens_d_xp,cohens_d_res,cohens_d_prog
global_z · Value+surprise (45/45/10) · P92 per-band,7.5,7.5,7.502,0.8143,0.9083,0.7441,0.3183,0.2432,0.7992,2.572,3.243,1.67
global_z · Value+surprise (45/45/10) · P95 global,5.0,3.949,13.568,0.4978,0.7472,0.7935,0.3269,0.2745,0.8488,2.874,3.631,1.776
global_z · Value+surprise (45/45/10) · P95 per-band,5.0,5.0,5.001,0.6578,0.8254,0.769,0.3282,0.2725,0.8345,2.672,3.565,1.729
global_z · Value+surprise (45/45/10) · P97 global,3.0,2.39,7.974,0.3561,0.6498,0.8044,0.3361,0.308,0.8674,2.822,3.993,1.784
global_z · Value+surprise (45/45/10) · P97 per-band,3.0,3.0,3.0,0.4048,0.6689,0.7869,0.3367,0.3054,0.865,2.699,3.915,1.775
global_z · Value+surprise (45/45/10) · P90 score + progress≥P60,9.323,7.284,25.95,0.619,0.8117,0.7653,0.3075,0.2229,0.8285,2.895,2.968,1.843
global_z · Balanced (45/35/20) · P90 global,10.0,7.74,28.431,0.6197,0.827,0.7644,0.3042,0.2185,0.8008,2.98,2.926,1.754
global_z · Balanced (45/35/20) · P90 per-band,10.0,10.0,10.001,0.7021,0.9062,0.7201,0.3091,0.2176,0.7855,2.466,2.895,1.683
global_z · Balanced (45/35/20) · P92 global,7.5,5.823,21.178,0.6191,0.8019,0.7837,0.315,0.2412,0.8376,2.993,3.18,1.809
global_z · Balanced (45/35/20) · P92 per-band,7.5,7.5,7.502,0.7917,0.8938,0.7507,0.3177,0.2398,0.8208,2.666,3.135,1.746
global_z · Balanced (45/35/20) · P95 global,5.0,3.84,14.465,0.4821,0.7276,0.8009,0.3265,0.2711,0.8653,2.952,3.513,1.831
global_z · Balanced (45/35/20) · P95 per-band,5.0,5.0,5.001,0.6687,0.8267,0.775,0.3278,0.2695,0.8537,2.745,3.468,1.793
global_z · Balanced (45/35/20) · P97 global,3.0,2.319,8.553,0.3449,0.6355,0.8132,0.3359,0.304,0.8836,2.901,3.865,1.833
global_z · Balanced (45/35/20) · P97 per-band,3.0,3.0,3.0,0.4073,0.6706,0.7924,0.3365,0.3028,0.8795,2.749,3.834,1.821
global_z · Balanced (45/35/20) · P90 score + progress≥P60,9.544,7.35,27.439,0.6007,0.8021,0.7699,0.3059,0.2181,0.8307,3.002,2.854,1.857
